time/total_timesteps,eval/mean_reward,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed
27000,-88.1878818,26899,-0.3430233895778656,0.0001965450924118268,-17.248401641845703,1600.0,0.028946129605174065,2.2063658237457275,,,,,
28000,-105.82866920000001,27899,-0.16956472396850586,0.0001965450924118268,-15.901796340942383,111.6,0.026723003014922142,2.6083388328552246,,,,,
28790,,28689,-1.279512643814087,0.0001965450924118268,-18.934017181396484,,0.02517705224454403,2.0590429306030273,359.875,60,80,-117.16850981249999,476
29000,-109.32946220000001,28899,1.8859541416168213,0.0001965450924118268,-16.22617530822754,1302.6,0.02471533976495266,4.358241081237793,,,,,
29191,,29090,-1.0794492959976196,0.0001965450924118268,-16.967304229736328,,0.0244747307151556,2.581368923187256,347.51190476190476,59,84,-116.68825126190478,488
30000,-115.27234660000002,29899,0.031241968274116516,0.0001965450924118268,-14.300580978393555,1009.8,0.023201273754239082,4.057541370391846,,,,,
31000,-115.7137516,30899,0.30279606580734253,0.0001965450924118268,-14.548806190490723,489.8,0.024104660376906395,2.1771626472473145,,,,,
31718,,31617,0.6927350759506226,0.0001965450924118268,-12.441396713256836,,0.025913553312420845,2.5407609939575195,360.4318181818182,59,88,-116.44087582954548,529
32000,-104.450948,31899,0.06636479496955872,0.0001965450924118268,-11.440760612487793,1169.4,0.026061544194817543,1.9622321128845215,,,,,
33000,-117.08193660000002,32899,0.43488210439682007,0.0001965450924118268,-9.535218238830566,457.4,0.024796195328235626,2.6631250381469727,,,,,
34000,-125.535288,33899,-0.8148088455200195,0.0001965450924118268,-5.5655837059021,505.2,0.025020834058523178,1.9866397380828857,,,,,
35000,-104.4462918,34899,-0.586510419845581,0.0001965450924118268,-5.036332130432129,767.8,0.02585454471409321,2.620771884918213,,,,,
35296,,35195,0.4545300304889679,0.0001965450924118268,-4.072343826293945,,0.025676075369119644,2.848691701889038,383.6521739130435,60,92,-116.0563915,588
36000,-79.47795160000001,35899,0.3712679445743561,0.0001965450924118268,-2.9465951919555664,1321.6,0.024845199659466743,1.981366753578186,,,,,
